Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Manipulation: Spreadsheet
1,1680109440803,29/03/2023 17:04:00,1680091440803,-5,29/03/2023 07:04:00,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680109448511,29/03/2023 17:04:08,1680091448511,-5,29/03/2023 07:04:08,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,7722,7715,7722,7722,7715,7722,1,0,7722,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
3,1680109455643,29/03/2023 17:04:15,1680091455643,-5,29/03/2023 07:04:15,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,7140,7125,7140,7140,7125,7140,1,0,7140,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
4,1680109458199,29/03/2023 17:04:18,1680091458199,-5,29/03/2023 07:04:18,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,2571,2567,2571,2571,2567,2571,1,0,2571,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
5,1680109464764,29/03/2023 17:04:24,1680091464764,-5,29/03/2023 07:04:24,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,6569,6559,6569,6569,6559,6569,1,0,6569,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
6,1680109469343,29/03/2023 17:04:29,1680091469343,-5,29/03/2023 07:04:29,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,4589,4582,4589,4589,4582,4589,1,0,4589,0,0,,Click Response,Response,3,object-6,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
7,1680109476068,29/03/2023 17:04:36,1680091476068,-5,29/03/2023 07:04:36,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,6733,6728,6733,6733,6728,6733,1,0,6733,0,0,,Click Response,Response,3,object-6,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
8,1680109485289,29/03/2023 17:04:45,1680091485289,-5,29/03/2023 07:04:45,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,9224,9210,9224,9224,9210,9224,1,0,9224,0,0,,Click Response,Response,2,object-5,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
9,1680109493499,29/03/2023 17:04:53,1680091493499,-5,29/03/2023 07:04:53,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,8224,8211,8224,8224,8211,8224,1,0,8224,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
10,1680109499335,29/03/2023 17:04:59,1680091499335,-5,29/03/2023 07:04:59,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,5846,5829,5846,5846,5829,5846,1,0,5846,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
11,1680109520722,29/03/2023 17:05:20,1680091520722,-5,29/03/2023 07:05:20,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,21397,21380,21397,21397,21380,21397,1,0,21397,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
12,1680109520747,29/03/2023 17:05:20,1680091520747,-5,29/03/2023 07:05:20,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680109421203,29/03/2023 17:03:41,1680095021203,-4,29/03/2023 09:03:41,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680109507161,29/03/2023 17:05:07,1680095107161,-4,29/03/2023 09:05:07,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,85967.861,85951.185,85967.861,85967.861,85951.185,85967.861,1,0,85967.861,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
3,1680109528262,29/03/2023 17:05:28,1680095128262,-4,29/03/2023 09:05:28,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,21123.847999999998,21110.604999999996,21123.847999999998,21123.847999999998,21110.604999999996,21123.847999999998,1,0,21123.847999999998,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
4,1680109549736,29/03/2023 17:05:49,1680095149736,-4,29/03/2023 09:05:49,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,21486.94300000019,21473.883000000016,21486.94300000019,21486.94300000019,21473.883000000016,21486.94300000019,1,0,21486.94300000019,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
5,1680109576784,29/03/2023 17:06:16,1680095176784,-4,29/03/2023 09:06:16,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,27060.560000000172,27054.448999999993,27060.560000000172,27060.560000000172,27054.448999999993,27060.560000000172,1,0,27060.560000000172,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
6,1680109594191,29/03/2023 17:06:34,1680095194191,-4,29/03/2023 09:06:34,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,17413.21100000004,17409.253999999986,17413.21100000004,17413.21100000004,17409.253999999986,17413.21100000004,1,0,17413.21100000004,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
7,1680109645719,29/03/2023 17:07:25,1680095245719,-4,29/03/2023 09:07:25,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,51532.7570000001,51530.263999999996,51532.7570000001,51532.7570000001,51530.263999999996,51532.7570000001,1,0,51532.7570000001,0,0,,Click Response,Response,2,object-5,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
8,1680109670431,29/03/2023 17:07:50,1680095270431,-4,29/03/2023 09:07:50,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,24714.093000000197,24708.507000000012,24714.093000000197,24714.093000000197,24708.507000000012,24714.093000000197,1,0,24714.093000000197,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
9,1680109689343,29/03/2023 17:08:09,1680095289343,-4,29/03/2023 09:08:09,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,18917.78600000014,18905.95000000001,18917.78600000014,18917.78600000014,18905.95000000001,18917.78600000014,1,0,18917.78600000014,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
10,1680109708519,29/03/2023 17:08:28,1680095308519,-4,29/03/2023 09:08:28,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,19188.03600000008,19172.619999999995,19188.03600000008,19188.03600000008,19172.619999999995,19188.03600000008,1,0,19188.03600000008,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
11,1680109726613,29/03/2023 17:08:46,1680095326613,-4,29/03/2023 09:08:46,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,18109.016000000178,18107.434999999998,18109.016000000178,18109.016000000178,18107.434999999998,18109.016000000178,1,0,18109.016000000178,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
12,1680109726618,29/03/2023 17:08:46,1680095326618,-4,29/03/2023 09:08:46,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680114327164,29/03/2023 18:25:27,1680099927164,-4,29/03/2023 10:25:27,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680114341080,29/03/2023 18:25:41,1680099941080,-4,29/03/2023 10:25:41,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,15367.30000000447,15364.256,15367.30000000447,15367.30000000447,15364.256,15367.30000000447,1,0,15367.30000000447,0,0,,Click Response,Response,2,object-5,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
3,1680114347644,29/03/2023 18:25:47,1680099947644,-4,29/03/2023 10:25:47,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,6567.844000001491,6567.036000000002,6567.844000001491,6567.844000001491,6567.036000000002,6567.844000001491,1,0,6567.844000001491,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
4,1680114352096,29/03/2023 18:25:52,1680099952096,-4,29/03/2023 10:25:52,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,4452.107999998509,4450.23,4452.107999998509,4452.107999998509,4450.23,4452.107999998509,1,0,4452.107999998509,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
5,1680114361546,29/03/2023 18:26:01,1680099961546,-4,29/03/2023 10:26:01,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,9451.77800000447,9450.558,9451.77800000447,9451.77800000447,9450.558,9451.77800000447,1,0,9451.77800000447,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
6,1680114367696,29/03/2023 18:26:07,1680099967696,-4,29/03/2023 10:26:07,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,6151.419999999998,6150.331999999995,6151.419999999998,6151.419999999998,6150.331999999995,6151.419999999998,1,0,6151.419999999998,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
7,1680114371196,29/03/2023 18:26:11,1680099971196,-4,29/03/2023 10:26:11,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,3501.7880000029836,3500.194000000003,3501.7880000029836,3501.7880000029836,3500.194000000003,3501.7880000029836,1,0,3501.7880000029836,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
8,1680114380146,29/03/2023 18:26:20,1680099980146,-4,29/03/2023 10:26:20,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,8951.59400000298,8950.493000000002,8951.59400000298,8951.59400000298,8950.493000000002,8951.59400000298,1,0,8951.59400000298,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
9,1680114397197,29/03/2023 18:26:37,1680099997197,-4,29/03/2023 10:26:37,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,17052.20100000447,17050.956999999995,17052.20100000447,17052.20100000447,17050.956999999995,17052.20100000447,1,0,17052.20100000447,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
10,1680114400530,29/03/2023 18:26:40,1680100000530,-4,29/03/2023 10:26:40,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,3334.5440000014933,3333.520000000004,3334.5440000014933,3334.5440000014933,3333.520000000004,3334.5440000014933,1,0,3334.5440000014933,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
11,1680114403080,29/03/2023 18:26:43,1680100003080,-4,29/03/2023 10:26:43,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,2551.1240000029793,2550.1359999999986,2551.1240000029793,2551.1240000029793,2550.1359999999986,2551.1240000029793,1,0,2551.1240000029793,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
12,1680114403083,29/03/2023 18:26:43,1680100003083,-4,29/03/2023 10:26:43,128242,3,task-6yod,,28528007,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680114893433,29/03/2023 18:34:53,1680100493433,-4,29/03/2023 10:34:53,128242,3,task-6yod,,28528295,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680114908166,29/03/2023 18:35:08,1680100508166,-4,29/03/2023 10:35:08,128242,3,task-6yod,,28528295,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,14754.392999928474,14748.576000000001,14754.392999928474,14754.392999928474,14748.576000000001,14754.392999928474,1,0,14754.392999928474,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
