Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6328b2645e7c8a21ea88734c,5c163e51d47b0000014a7821,AWAITING REVIEW,2022-09-19T18:18:12.545000Z,2022-09-19T18:21:27.716000Z,,2022-09-19T18:21:28.108849Z,196,CBREWR4A,444,5,98,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6328b266dac4ef0ca4d34c8a,5bf1a218f5e4460001e033c6,AWAITING REVIEW,2022-09-19T18:18:16.894000Z,2022-09-19T18:24:29.935000Z,,2022-09-19T18:24:30.335820Z,374,NOCODE,221,4,99,23,Male,White,Brazil,Portugal,Brazil,Portuguese,Yes,Full-Time
6328b2670a7e7fd92782cd43,5d8794b64a462d001a65469d,AWAITING REVIEW,2022-09-19T18:18:15.917000Z,2022-09-19T18:21:54.282000Z,,2022-09-19T18:21:54.727574Z,219,CBREWR4A,250,0,100,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26755273fba513fb2a8,61093d97f7bf8a4f8117eb82,AWAITING REVIEW,2022-09-19T18:18:38.999000Z,2022-09-19T18:22:49.432000Z,,2022-09-19T18:22:49.845722Z,251,CBREWR4A,198,2,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b267bffd20231e82cd3b,5c1bb460a05a64000125c522,AWAITING REVIEW,2022-09-19T18:18:15.219000Z,2022-09-19T18:20:35.345000Z,,2022-09-19T18:20:35.671392Z,141,CBREWR4A,488,3,100,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b269a2f6f1e9249e5b6f,5b3a48e8b6b4410001613060,AWAITING REVIEW,2022-09-19T18:18:17.126000Z,2022-09-19T18:25:07.960000Z,,2022-09-19T18:25:08.605668Z,411,CBREWR4A,399,2,100,29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b269f457cf11c2a90748,5e9774d2837b810ebe32666e,AWAITING REVIEW,2022-09-19T18:18:23.004000Z,2022-09-19T18:24:35.716000Z,,2022-09-19T18:24:36.114701Z,373,CBREWR4A,256,2,100,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26be1118e2b808872da,5ec8fb6238d8e23ed46c9b00,AWAITING REVIEW,2022-09-19T18:18:19.566000Z,2022-09-19T18:25:00.554000Z,,2022-09-19T18:25:01.244252Z,401,CBREWR4A,329,1,100,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26e02dff9aee0713aa6,616c3f3a378cb38f3f7ecac3,AWAITING REVIEW,2022-09-19T18:27:53.397000Z,2022-09-19T18:41:03.940000Z,,2022-09-19T18:41:04.584160Z,791,CBREWR4A,319,12,94,53,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b26e4c8277327b6bde4d,60319c4ae7fec011b90a5410,AWAITING REVIEW,2022-09-19T18:18:22.821000Z,2022-09-19T18:21:34.280000Z,,2022-09-19T18:21:34.779970Z,192,CBR42,44,1,98,19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b26e62c6cb795c251316,61309cc42d77788e1605c645,AWAITING REVIEW,2022-09-19T18:18:22.077000Z,2022-09-19T18:26:39.647000Z,,2022-09-19T18:26:40.014665Z,498,CBREWR4A,21,2,95,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b26f352ef4d3dfd34ca9,5f3ee8fb5f0cc21a519fb0c2,AWAITING REVIEW,2022-09-19T18:18:23.062000Z,2022-09-19T18:35:09.032000Z,,2022-09-19T18:35:09.378192Z,1006,NOCODE,186,1,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
6328b26f935ac607b90fac85,600a4e976b660c1b22959bbb,AWAITING REVIEW,2022-09-19T18:18:23.919000Z,2022-09-19T18:21:58.681000Z,,2022-09-19T18:21:59.056862Z,215,NOCODE,147,2,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b2700a7e7fd92782cd44,5db9051361dab0000c7b51f4,AWAITING REVIEW,2022-09-19T18:18:30.251000Z,2022-09-19T18:23:33.757000Z,,2022-09-19T18:23:34.104836Z,304,CBREWR4A,196,4,98,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b270124535db646bde6e,60d101464180f5f5cd211e77,AWAITING REVIEW,2022-09-19T18:18:24.647000Z,2022-09-19T18:23:30.350000Z,,2022-09-19T18:23:30.775132Z,306,NOCODE,173,1,99,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b2711f6f813b7926e7e3,60fd5adad03767cff6dddda8,AWAITING REVIEW,2022-09-19T18:18:55.572000Z,2022-09-19T18:21:56.074000Z,,2022-09-19T18:21:56.447719Z,181,CBREWR4A,226,0,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b2713c7228d30ba85c05,60b7b8126c0c4524e913236e,AWAITING REVIEW,2022-09-19T18:18:25.236000Z,2022-09-19T18:22:42.465000Z,,2022-09-19T18:22:42.801010Z,258,CBREWR4A,376,3,100,22,Male,White,United States,Portugal,United States,Portuguese,Yes,Part-Time
6328b273478e934357584dbb,616c4409a2bcfe1fdb942117,AWAITING REVIEW,2022-09-19T18:18:59.963000Z,2022-09-19T18:22:03.477000Z,,2022-09-19T18:22:03.845636Z,184,CBREWR4A,342,3,100,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b2737667a0d6242b9451,5c3879f33c4f7e00011f7ed8,AWAITING REVIEW,2022-09-19T18:18:27.397000Z,2022-09-19T18:22:42.694000Z,,2022-09-19T18:22:43.024494Z,256,NOCODE,330,2,100,35,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6328b273afda1f3263502928,5da5fdef9a9dc5001484350b,AWAITING REVIEW,2022-09-19T18:18:29.659000Z,2022-09-19T18:23:10.267000Z,,2022-09-19T18:23:10.727210Z,281,CBREWR4A,404,4,99,27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6328b27451ba93f7a28a7788,602eda053a3b7ab564f938f5,AWAITING REVIEW,2022-09-19T18:18:28.875000Z,2022-09-19T18:23:15.912000Z,,2022-09-19T18:23:16.345749Z,288,CBREWR4A,138,4,97,28,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b2745e7c8a21ea88734f,5e9317f16914d115371902bd,AWAITING REVIEW,2022-09-19T18:18:28.650000Z,2022-09-19T18:22:28.518000Z,,2022-09-19T18:22:28.975823Z,240,NOCODE,321,8,97,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6328b27471d332f33a3821de,614235732a911ae28559d9c3,AWAITING REVIEW,2022-09-19T18:18:28.224000Z,2022-09-19T18:21:18.854000Z,,2022-09-19T18:21:19.236986Z,171,cbrewr4a,171,2,100,19,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6328b274935ac607b90fac87,608aca62886ae1afea26fb4c,AWAITING REVIEW,2022-09-19T18:18:36.991000Z,2022-09-19T18:21:29.081000Z,,2022-09-19T18:21:29.461115Z,173,CBREWR4A,199,7,96,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b275c3f5828692713af3,6132b4b1f9e3fcb24598b43f,AWAITING REVIEW,2022-09-19T18:18:35.318000Z,2022-09-19T18:22:52.418000Z,,2022-09-19T18:22:52.728276Z,258,CBREWR4A,177,1,100,20,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b275c3f5828692713af4,60bcdaf1a9b6adfbf9b197c8,AWAITING REVIEW,2022-09-19T18:18:29.521000Z,2022-09-19T18:22:09.698000Z,,2022-09-19T18:22:10.109080Z,221,NOCODE,130,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b275d8ffaa386926e7cb,5b883986f249560001686872,AWAITING REVIEW,2022-09-19T18:18:33.691000Z,2022-09-19T18:22:41.004000Z,,2022-09-19T18:22:41.572046Z,248,CBREWR4A,218,5,97,26,Male,White,United States,United States,United States,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6328b27699df64833ed34cde,61047ec8aaf00551e5a6b3ae,AWAITING REVIEW,2022-09-19T18:18:30.005000Z,2022-09-19T18:22:25.273000Z,,2022-09-19T18:22:26.616922Z,236,CBREWR4A,103,1,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b276ced8ae0758925ff3,5fb2946df797088a8c405c2e,AWAITING REVIEW,2022-09-19T18:18:30.699000Z,2022-09-19T18:23:29.926000Z,,2022-09-19T18:23:30.248751Z,300,CBREWR4A,115,0,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b277dac4ef0ca4d34c8d,5fc3e4692ee48e75801407f2,AWAITING REVIEW,2022-09-19T18:18:33.376000Z,2022-09-19T18:20:40.216000Z,,2022-09-19T18:20:40.588173Z,127,CBREWR4A,113,5,97,30,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b277f25b917ef33821de,60b7e7db11897639638f15cb,AWAITING REVIEW,2022-09-19T18:18:31.613000Z,2022-09-19T18:27:00.880000Z,,2022-09-19T18:27:01.248708Z,510,CBREWR4A,149,2,99,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b2786baee34e0637b93c,5ea70a28a39e3c08bcda5ed3,AWAITING REVIEW,2022-09-19T18:18:32.594000Z,2022-09-19T18:22:54.990000Z,,2022-09-19T18:22:55.422770Z,263,CBREWR4A,136,2,99,21,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b278bfe77dc622932621,5efae8ae4003e69471e548b3,AWAITING REVIEW,2022-09-19T18:25:13.155000Z,2022-09-19T18:31:00.486000Z,,2022-09-19T18:31:00.864299Z,348,CBREWR4A,315,2,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b278ddc9d0dd5f82cd09,5be42d273c3950000124f5ab,AWAITING REVIEW,2022-09-19T18:18:32.390000Z,2022-09-19T18:23:28.997000Z,,2022-09-19T18:23:29.579026Z,297,NOCODE,42,1,100,27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6328b27924bd51ab0b745075,5f8040a15e9c0003ae16dc31,AWAITING REVIEW,2022-09-19T18:18:49.482000Z,2022-09-19T18:25:52.215000Z,,2022-09-19T18:25:52.633471Z,423,CBREWR4A,347,3,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b2794d8e13fce1251328,603b0cceef3baf7b6df2d475,AWAITING REVIEW,2022-09-19T18:18:33.599000Z,2022-09-19T18:22:08.021000Z,,2022-09-19T18:22:09.115752Z,215,CBREWR4A,180,1,100,23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b2799741a507177b356e,5f285902166da3151b01faf2,AWAITING REVIEW,2022-09-19T18:18:33.128000Z,2022-09-19T18:27:11.541000Z,,2022-09-19T18:27:11.974234Z,519,CBREWR4A,355,1,100,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b27a117419759e68fb60,59dbbdce5de9b000017ebf19,AWAITING REVIEW,2022-09-19T18:18:36.312000Z,2022-09-19T18:23:04.260000Z,,2022-09-19T18:23:04.598926Z,268,CBREWR4A,235,3,99,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b27bafb89ff8dd5211db,60b8f3441ccfdef115097258,AWAITING REVIEW,2022-09-19T18:18:35.993000Z,2022-09-19T18:36:04.242000Z,,2022-09-19T18:36:05.412915Z,1049,CBREWR4A,147,0,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b27c0a7e7fd92782cd48,5c549c6372fd9000018b5968,AWAITING REVIEW,2022-09-19T18:18:36.573000Z,2022-09-19T18:26:11.273000Z,,2022-09-19T18:26:11.648082Z,455,CBREWR4A,584,7,99,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b27c2e88d0c15a925ff0,5f3a9083cee6b36b57522344,AWAITING REVIEW,2022-09-19T18:18:45.139000Z,2022-09-19T18:23:38.525000Z,,2022-09-19T18:23:38.855052Z,294,CBREWR4A,172,3,99,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b27cad3511ef61542ed6,610bb9c0c502bc7d0b4650f6,AWAITING REVIEW,2022-09-19T18:18:44.420000Z,2022-09-19T18:23:08.013000Z,,2022-09-19T18:23:08.353695Z,264,CBREWR4A,174,1,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6328b27d277a4c64e59e5b45,603e297ff27612c343ab3bb1,AWAITING REVIEW,2022-09-19T18:18:37.413000Z,2022-09-19T18:23:30.070000Z,,2022-09-19T18:23:30.424312Z,293,CBREWR4A,138,1,100,19,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b27d4b1dda3af58a7793,5ecd21dec04cca02c9032485,AWAITING REVIEW,2022-09-19T18:18:37.667000Z,2022-09-19T18:25:22.289000Z,,2022-09-19T18:25:22.683493Z,405,CBREWR4A,253,4,99,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b27dd8456a38d76bde55,603d30657ebc27bdc5e79350,AWAITING REVIEW,2022-09-19T18:18:37.916000Z,2022-09-19T18:22:13.004000Z,,2022-09-19T18:22:13.378445Z,216,CBREWR4A,25,0,100,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b27de1118e2b808872de,607231689a84685649c6a83f,AWAITING REVIEW,2022-09-19T18:18:37.142000Z,2022-09-19T18:28:24.896000Z,,2022-09-19T18:28:25.296684Z,588,CBREWR4A,4,0,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b27e02dff9aee0713aa7,5fbc41ea2e82120f440136d9,AWAITING REVIEW,2022-09-19T18:18:38.476000Z,2022-09-19T18:21:30.393000Z,,2022-09-19T18:21:30.806419Z,172,NOCODE,90,1,100,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b27e60831a76a95211c6,5ed7979f2514f62355ad646c,AWAITING REVIEW,2022-09-19T18:18:38.755000Z,2022-09-19T18:23:02.889000Z,,2022-09-19T18:23:03.275877Z,265,CBREWR4A,214,5,96,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b27ea199bf793aa85c71,610fcfe70592d59fc629f2a5,AWAITING REVIEW,2022-09-19T18:18:41.500000Z,2022-09-19T18:23:24.081000Z,,2022-09-19T18:23:24.495690Z,283,CBREWR4A,181,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b27fbf9f4da6ed86552a,6117ba90a25dad6d7722bb4f,AWAITING REVIEW,2022-09-19T18:18:39.187000Z,2022-09-19T18:23:09.179000Z,,2022-09-19T18:23:09.529783Z,270,CBREWR4A,8,0,100,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b2819f7ebb2864fb5f9c,60db330e7f2788aa9c6a708f,AWAITING REVIEW,2022-09-19T18:18:41.428000Z,2022-09-19T18:22:27.724000Z,,2022-09-19T18:22:28.134634Z,227,CBREWR4A,175,1,100,23,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6328b281afb89ff8dd5211dd,5b339152afe1d00001c6c509,AWAITING REVIEW,2022-09-19T18:18:41.635000Z,2022-09-19T18:21:34.863000Z,,2022-09-19T18:21:35.275163Z,174,CBREWR4A,346,0,100,23,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6328b281da9e1a98cb5d0752,60a18093c5c040498d3addf8,AWAITING REVIEW,2022-09-19T18:18:41.200000Z,2022-09-19T18:26:30.242000Z,,2022-09-19T18:26:30.676018Z,470,CBREWR4A,37,1,100,20,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b282478e934357584dc0,61607dd2982bc0b8b379eeca,AWAITING REVIEW,2022-09-19T18:18:45.383000Z,2022-09-19T18:25:08.012000Z,,2022-09-19T18:25:08.414051Z,383,CBREWR4A,136,2,99,28,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b282a8b11828332fd452,5f5a98c14aea451920c16cc2,AWAITING REVIEW,2022-09-19T18:18:42.708000Z,2022-09-19T18:25:18.152000Z,,2022-09-19T18:25:18.465254Z,396,CBREWR4A,174,1,100,26,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b2830a7e7fd92782cd4a,6053809bf351261ec3d823c3,AWAITING REVIEW,2022-09-19T18:18:56.087000Z,2022-09-19T18:23:07.824000Z,,2022-09-19T18:23:08.238151Z,252,CBREWR4A,208,2,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b2837960395fe44b9067,5ef47e3b2f85d7042e2dfa81,AWAITING REVIEW,2022-09-19T18:18:43.099000Z,2022-09-19T18:21:52.164000Z,,2022-09-19T18:21:52.571686Z,190,CBREWR4A,195,3,98,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b2840a7e7fd92782cd4b,6136cf83be527a683b8c0b95,AWAITING REVIEW,2022-09-19T18:18:44.240000Z,2022-09-19T18:40:12.635000Z,,2022-09-19T18:40:13.076908Z,1289,CBREWR4A,200,0,100,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b285f25b917ef33821df,5fd663b8b06c1b570569dc2b,AWAITING REVIEW,2022-09-19T18:18:45.876000Z,2022-09-19T18:22:19.323000Z,,2022-09-19T18:22:20.574157Z,214,CBREWR4A,288,2,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b286a778cb5d5ca72cd0,5df801d601423f5ab3dcf859,AWAITING REVIEW,2022-09-19T18:18:46.464000Z,2022-09-19T18:25:35.311000Z,,2022-09-19T18:25:35.785693Z,409,CBREWR4A,322,0,100,26,Female,White,Portugal,Canada,Portugal,Portuguese,No,Full-Time
6328b286afb89ff8dd5211df,60fbc53a81120344612e0d08,AWAITING REVIEW,2022-09-19T18:18:46.771000Z,2022-09-19T18:24:31.188000Z,,2022-09-19T18:24:31.507478Z,345,CBREWR4A,219,5,98,21,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b287bfe77dc622932623,611bbf442fae05702503ef30,AWAITING REVIEW,2022-09-19T18:18:49.783000Z,2022-09-19T18:23:22.358000Z,,2022-09-19T18:23:22.703049Z,273,CBREWR4A,167,6,94,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b287dd3d2bb4b9975d5f,5ff797b72ac13349beac1906,AWAITING REVIEW,2022-09-19T18:18:47.691000Z,2022-09-19T18:38:43.519000Z,,2022-09-19T18:38:50.481811Z,1196,CBREWR4A,224,3,99,23,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b287f6f15ebe98932614,5f5aa6d5b8e6411a69e274d5,AWAITING REVIEW,2022-09-19T18:18:47.237000Z,2022-09-19T18:28:03.517000Z,,2022-09-19T18:28:03.867710Z,557,NOCODE,152,0,100,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b288935ac607b90fac89,631a24dfca851aac1863e4a4,AWAITING REVIEW,2022-09-19T18:18:50.343000Z,2022-09-19T18:23:23.862000Z,,2022-09-19T18:23:24.233012Z,274,NOCODE,5,0,100,23,Male,White,Portugal,Netherlands,Portugal,Portuguese,Yes,Part-Time
6328b288b7755ae67c1faa43,61088fcf393bde58359957b3,AWAITING REVIEW,2022-09-19T18:18:51.393000Z,2022-09-19T18:22:43.744000Z,,2022-09-19T18:22:44.063459Z,233,CBREWR4A,66,0,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b28ab6e1e13011932629,5d8346167ed176001888204d,AWAITING REVIEW,2022-09-19T18:18:50.710000Z,2022-09-19T18:25:07.094000Z,,2022-09-19T18:25:07.436401Z,377,CBREWR4A,495,2,100,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b28ac295db406d82ccd0,6050de36565b8a6c1bd30772,AWAITING REVIEW,2022-09-19T18:18:50.240000Z,2022-09-19T18:24:32.164000Z,,2022-09-19T18:24:32.540532Z,342,cbrewr4a,341,1,100,47,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b28ad647fa65995211a8,611a9d0b0bd151b4eba53b6e,AWAITING REVIEW,2022-09-19T18:18:50.953000Z,2022-09-19T18:22:40.814000Z,,2022-09-19T18:22:41.154826Z,230,CBREWR4A,76,1,100,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6328b28ca2f6f1e9249e5b7a,5d3a11ab26ef9c0001d95a30,AWAITING REVIEW,2022-09-19T18:18:58.405000Z,2022-09-19T18:23:59.346000Z,,2022-09-19T18:23:59.732012Z,301,CBREWR4A,383,10,96,49,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b28cbb18748d82713aca,5e5ba8c45cd2ad38c93ca999,AWAITING REVIEW,2022-09-19T18:18:52.010000Z,2022-09-19T18:22:20.543000Z,,2022-09-19T18:22:20.933417Z,209,CBREWR4A,367,3,99,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b28d0a7e7fd92782cd4c,610d4f4fe67b7a3fc45cc2cd,AWAITING REVIEW,2022-09-19T18:20:57.807000Z,2022-09-19T18:25:44.894000Z,,2022-09-19T18:25:45.218475Z,288,CBREWR4A,91,0,100,24,Female,White,"Venezuela, Bolivarian Republic of",Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b28d79b9bb40d137b94b,5c198b6c749f990001f2491d,AWAITING REVIEW,2022-09-19T18:18:55.144000Z,2022-09-19T18:23:04.893000Z,,2022-09-19T18:23:05.242733Z,250,CBREWR4A,362,7,96,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b28ea66faee454c3079d,6124f281ce42cb9bf7ed738f,AWAITING REVIEW,2022-09-19T18:28:16.380000Z,2022-09-19T18:34:35.659000Z,,2022-09-19T18:34:36.044595Z,380,CBREWR4A,183,0,100,23,Male,White,Moldova,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b28ec15ca0309a7b356f,5fd10ea45b0274043b0fa72f,AWAITING REVIEW,2022-09-19T18:18:54.358000Z,2022-09-19T18:32:17.488000Z,,2022-09-19T18:32:18.537696Z,804,CBREWR4A,89,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b2b67075b93d8c542eb4,5d72d4c405a71e00015a7a50,AWAITING REVIEW,2022-09-19T18:20:12.270000Z,2022-09-19T18:28:02.695000Z,,2022-09-19T18:28:03.021995Z,471,CBREWR4A,458,2,100,43,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b2b8a778cb5d5ca72cda,5f09d989eff16b266fba44c0,AWAITING REVIEW,2022-09-19T18:19:36.828000Z,2022-09-19T18:26:24.917000Z,,2022-09-19T18:26:25.322644Z,409,NOCODE,355,1,100,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b306afff216fe78654ba,6166e78051425fa22de68491,AWAITING REVIEW,2022-09-19T18:21:15.402000Z,2022-09-19T18:35:44.345000Z,,2022-09-19T18:35:44.674305Z,869,NOCODE,177,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b4364c9295c683c8f178,5d8a6557302eee001a5b8385,AWAITING REVIEW,2022-09-19T18:26:03.299000Z,2022-09-19T18:30:53.685000Z,,2022-09-19T18:30:54.112240Z,291,CBREWR4A,16,0,100,34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6328b4f454b481a332a85bfd,5c1e6b9eaf2bd30001ecc163,AWAITING REVIEW,2022-09-19T18:29:14.767000Z,2022-09-19T18:34:44.914000Z,,2022-09-19T18:34:45.425853Z,331,CBREWR4A,362,6,97,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
