Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1680011313601,28/03/2023 13:48:33,1680014913601,1,28/03/2023 15:48:33,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680011334597,28/03/2023 13:48:54,1680014934597,1,28/03/2023 15:48:54,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,21007.128000095367,21000.197,21007.128000095367,21007.128000095367,21000.197,21007.128000095367,1,0,21007.128000095367,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680011334602,28/03/2023 13:48:54,1680014934602,1,28/03/2023 15:48:54,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680042824148,28/03/2023 22:33:44,1680017624148,-7,28/03/2023 08:33:44,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680042826292,28/03/2023 22:33:46,1680017626292,-7,28/03/2023 08:33:46,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,2142,2108,2142,2142,2108,2142,1,0,2142,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680042826298,28/03/2023 22:33:46,1680017626298,-7,28/03/2023 08:33:46,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680032824542,28/03/2023 19:47:04,1680018424542,-4,28/03/2023 11:47:04,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680032830845,28/03/2023 19:47:10,1680018430845,-4,28/03/2023 11:47:10,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,6343.387000011921,6333.803000000001,6343.387000011921,6343.387000011921,6333.803000000001,6343.387000011921,1,0,6343.387000011921,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680032830848,28/03/2023 19:47:10,1680018430848,-4,28/03/2023 11:47:10,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680046199247,28/03/2023 23:29:59,1680020999247,-7,28/03/2023 09:29:59,127819,11,task-kew6,,28497513,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,instructions,2,ABC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680046201786,28/03/2023 23:30:01,1680021001786,-7,28/03/2023 09:30:01,127819,11,task-kew6,,28497513,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,instructions,2,ABC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,2572.359000023842,2557.548,2572.359000023842,2572.359000023842,2557.548,2572.359000023842,1,0,2572.359000023842,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680046201788,28/03/2023 23:30:01,1680021001788,-7,28/03/2023 09:30:01,127819,11,task-kew6,,28497513,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,instructions,2,ABC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680039437851,28/03/2023 21:37:17,1680021437851,-5,28/03/2023 11:37:17,127819,11,task-kew6,,28497857,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,instructions,2,ACB,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680039445527,28/03/2023 21:37:25,1680021445527,-5,28/03/2023 11:37:25,127819,11,task-kew6,,28497857,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,instructions,2,ACB,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,7669,7652,7669,7669,7652,7669,1,0,7669,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680039445532,28/03/2023 21:37:25,1680021445532,-5,28/03/2023 11:37:25,127819,11,task-kew6,,28497857,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,instructions,2,ACB,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680039966808,28/03/2023 21:46:06,1680021966808,-5,28/03/2023 11:46:06,127819,11,task-kew6,,28498235,BLIND,8470200,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680039968673,28/03/2023 21:46:08,1680021968673,-5,28/03/2023 11:46:08,127819,11,task-kew6,,28498235,BLIND,8470200,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,BAC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,1889.2969999999996,1883.1839999999993,1889.2969999999996,1889.2969999999996,1883.1839999999993,1889.2969999999996,1,0,1889.2969999999996,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680039968676,28/03/2023 21:46:08,1680021968676,-5,28/03/2023 11:46:08,127819,11,task-kew6,,28498235,BLIND,8470200,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680047217229,28/03/2023 23:46:57,1680022017229,-7,28/03/2023 09:46:57,127819,11,task-kew6,,28498268,BLIND,8470211,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1432x710,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680047248572,28/03/2023 23:47:28,1680022048572,-7,28/03/2023 09:47:28,127819,11,task-kew6,,28498268,BLIND,8470211,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1432x710,,instructions,2,BCA,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,31361.36800009537,31350.712,31361.36800009537,31361.36800009537,31350.712,31361.36800009537,1,0,31361.36800009537,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680047248577,28/03/2023 23:47:28,1680022048577,-7,28/03/2023 09:47:28,127819,11,task-kew6,,28498268,BLIND,8470211,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1432x710,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680036812062,28/03/2023 20:53:32,1680022412062,-4,28/03/2023 12:53:32,127819,11,task-kew6,,28498500,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680036825572,28/03/2023 20:53:45,1680022425572,-4,28/03/2023 12:53:45,127819,11,task-kew6,,28498500,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,instructions,2,CAB,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,15849.699999988079,15842.448,15849.699999988079,15849.699999988079,15842.448,15849.699999988079,1,0,15849.699999988079,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680036825574,28/03/2023 20:53:45,1680022425574,-4,28/03/2023 12:53:45,127819,11,task-kew6,,28498500,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680036841049,28/03/2023 20:54:01,1680022441049,-4,28/03/2023 12:54:01,127819,11,task-kew6,,28498513,BLIND,8470260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680036862818,28/03/2023 20:54:22,1680022462818,-4,28/03/2023 12:54:22,127819,11,task-kew6,,28498513,BLIND,8470260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CBA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,21815.21500001192,21774.086,21815.21500001192,21815.21500001192,21774.086,21815.21500001192,1,0,21815.21500001192,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680036862824,28/03/2023 20:54:22,1680022462824,-4,28/03/2023 12:54:22,127819,11,task-kew6,,28498513,BLIND,8470260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680036944582,28/03/2023 20:55:44,1680022544582,-4,28/03/2023 12:55:44,127819,11,task-kew6,,28498571,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680036949611,28/03/2023 20:55:49,1680022549611,-4,28/03/2023 12:55:49,127819,11,task-kew6,,28498571,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,instructions,2,ABC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,5054.593000000372,5048.256999999998,5054.593000000372,5054.593000000372,5048.256999999998,5054.593000000372,1,0,5054.593000000372,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680036949613,28/03/2023 20:55:49,1680022549613,-4,28/03/2023 12:55:49,127819,11,task-kew6,,28498571,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680040930959,28/03/2023 22:02:10,1680022930959,-5,28/03/2023 12:02:10,127819,11,task-kew6,,28498769,BLIND,8470361,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680040940302,28/03/2023 22:02:20,1680022940302,-5,28/03/2023 12:02:20,127819,11,task-kew6,,28498769,BLIND,8470361,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,instructions,2,BCA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,9351.095000000001,9334.377,9351.095000000001,9351.095000000001,9334.377,9351.095000000001,1,0,9351.095000000001,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680040940307,28/03/2023 22:02:20,1680022940307,-5,28/03/2023 12:02:20,127819,11,task-kew6,,28498769,BLIND,8470361,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680048254146,29/03/2023 00:04:14,1680023054146,-7,28/03/2023 10:04:14,127819,11,task-kew6,,28498835,BLIND,8470387,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680048258462,29/03/2023 00:04:18,1680023058462,-7,28/03/2023 10:04:18,127819,11,task-kew6,,28498835,BLIND,8470387,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,instructions,2,CAB,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,4311,4294,4311,4311,4294,4311,1,0,4311,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680048258467,29/03/2023 00:04:18,1680023058467,-7,28/03/2023 10:04:18,127819,11,task-kew6,,28498835,BLIND,8470387,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680037595611,28/03/2023 21:06:35,1680023195611,-4,28/03/2023 13:06:35,127819,11,task-kew6,,28498915,BLIND,8470412,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680037630482,28/03/2023 21:07:10,1680023230482,-4,28/03/2023 13:07:10,127819,11,task-kew6,,28498915,BLIND,8470412,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,34898.56499997616,34893.13,34898.56499997616,34898.56499997616,34893.13,34898.56499997616,1,0,34898.56499997616,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680037630488,28/03/2023 21:07:10,1680023230488,-4,28/03/2023 13:07:10,127819,11,task-kew6,,28498915,BLIND,8470412,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680038443233,28/03/2023 21:20:43,1680024043233,-4,28/03/2023 13:20:43,127819,11,task-kew6,,28499511,BLIND,8470585,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,instructions,2,ABC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680038468291,28/03/2023 21:21:08,1680024068291,-4,28/03/2023 13:21:08,127819,11,task-kew6,,28499511,BLIND,8470585,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,instructions,2,ABC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,28899,28882,28899,28899,28882,28899,1,0,28899,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680038468298,28/03/2023 21:21:08,1680024068298,-4,28/03/2023 13:21:08,127819,11,task-kew6,,28499511,BLIND,8470585,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,instructions,2,ABC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680049488623,29/03/2023 00:24:48,1680024288623,-7,28/03/2023 10:24:48,127819,11,task-kew6,,28499647,BLIND,8470620,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,instructions,2,ACB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680049490297,29/03/2023 00:24:50,1680024290297,-7,28/03/2023 10:24:50,127819,11,task-kew6,,28499647,BLIND,8470620,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,instructions,2,ACB,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,1737.7829999940395,1733.375,1737.7829999940395,1737.7829999940395,1733.375,1737.7829999940395,1,0,1737.7829999940395,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680049490299,29/03/2023 00:24:50,1680024290299,-7,28/03/2023 10:24:50,127819,11,task-kew6,,28499647,BLIND,8470620,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,instructions,2,ACB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680021801776,28/03/2023 16:43:21,1680025401776,1,28/03/2023 18:43:21,127819,11,task-kew6,,28500268,BLIND,8470849,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680021806757,28/03/2023 16:43:26,1680025406757,1,28/03/2023 18:43:26,127819,11,task-kew6,,28500268,BLIND,8470849,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,instructions,2,BCA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,4988.66,4982.68,4988.66,4988.66,4982.68,4988.66,1,0,4988.66,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680021806761,28/03/2023 16:43:26,1680025406761,1,28/03/2023 18:43:26,127819,11,task-kew6,,28500268,BLIND,8470849,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680040042657,28/03/2023 21:47:22,1680025642657,-4,28/03/2023 13:47:22,127819,11,task-kew6,,28500406,BLIND,8470891,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680040050423,28/03/2023 21:47:30,1680025650423,-4,28/03/2023 13:47:30,127819,11,task-kew6,,28500406,BLIND,8470891,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,7784.418000011921,7779.800000000001,7784.418000011921,7784.418000011921,7779.800000000001,7784.418000011921,1,0,7784.418000011921,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680040050425,28/03/2023 21:47:30,1680025650425,-4,28/03/2023 13:47:30,127819,11,task-kew6,,28500406,BLIND,8470891,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,instructions,2,CBA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680040097718,28/03/2023 21:48:17,1680025697718,-4,28/03/2023 13:48:17,127819,11,task-kew6,,28500441,BLIND,8470900,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680040115007,28/03/2023 21:48:35,1680025715007,-4,28/03/2023 13:48:35,127819,11,task-kew6,,28500441,BLIND,8470900,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CAB,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,17302.704000000005,17286.067000000003,17302.704000000005,17302.704000000005,17286.067000000003,17302.704000000005,1,0,17302.704000000005,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680040115013,28/03/2023 21:48:35,1680025715013,-4,28/03/2023 13:48:35,127819,11,task-kew6,,28500441,BLIND,8470900,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680040552078,28/03/2023 21:55:52,1680026152078,-4,28/03/2023 13:55:52,127819,11,task-kew6,,28500722,BLIND,8470987,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680040553442,28/03/2023 21:55:53,1680026153442,-4,28/03/2023 13:55:53,127819,11,task-kew6,,28500722,BLIND,8470987,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,instructions,2,ABC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,1390.8969999994406,1379.7579999999998,1390.8969999994406,1390.8969999994406,1379.7579999999998,1390.8969999994406,1,0,1390.8969999994406,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680040553447,28/03/2023 21:55:53,1680026153447,-4,28/03/2023 13:55:53,127819,11,task-kew6,,28500722,BLIND,8470987,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680053352307,29/03/2023 01:29:12,1680028152307,-7,28/03/2023 11:29:12,127819,11,task-kew6,,28501987,BLIND,8471269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680053354220,29/03/2023 01:29:14,1680028154220,-7,28/03/2023 11:29:14,127819,11,task-kew6,,28501987,BLIND,8471269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,instructions,2,BAC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,1949.9439998092648,1937.2849999999999,1949.9439998092648,1949.9439998092648,1937.2849999999999,1949.9439998092648,1,0,1949.9439998092648,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680053354230,29/03/2023 01:29:14,1680028154230,-7,28/03/2023 11:29:14,127819,11,task-kew6,,28501987,BLIND,8471269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
END OF FILE
